target temperature;Temperature;PID output;proportional part; integral part;differential part;Calculated temperature
200;140;0;0;0;0;140
200;140;7;7;0;0;140
200;140;7;7;0;0;141
200;140;14;14;0;0;141
200;140;14;14;0;0;142
200;140;21;21;0;0;142
200;140;22;21;1;0;143
200;140;30;28;2;0;143
200;140;30;28;2;0;144
200;140;37;35;2;0;144
200;140;38;35;3;0;145
200;140;45;42;3;0;145
200;140;46;42;4;0;146
200;140;53;49;4;0;146
200;140;54;49;5;0;147
200;140;62;56;6;0;147
200;140;63;56;7;0;148
200;140;71;63;8;0;148
200;140;72;63;9;0;149
200;140;67;63;9;65531;149
200;140;68;63;10;65531;150
200;141;88;77;11;0;151
200;141;77;70;12;65531;152
200;141;86;77;14;65531;152
200;141;87;77;15;65531;153
200;141;95;84;16;65531;153
200;141;96;84;17;65531;154
200;141;100;91;18;65531;154
200;142;100;91;20;0;156
200;142;100;98;20;0;156
200;142;100;91;22;65526;157
200;142;100;98;24;65531;157
200;142;100;98;25;65531;158
200;143;100;105;0;65531;159
200;143;94;98;1;65531;160
200;143;100;105;0;65531;160
200;143;100;105;0;65531;161
200;144;96;105;1;65526;162
200;144;98;105;3;65526;163
200;145;99;105;4;65526;164
200;145;100;105;6;65526;165
200;146;100;112;0;65526;166
200;146;91;105;1;65521;167
200;147;93;105;3;65521;168
200;147;94;105;4;65521;169
200;148;91;105;6;65516;170
200;148;97;105;7;65521;171
200;149;94;105;9;65516;172
200;150;88;98;10;65516;174
200;151;96;105;11;65516;175
200;152;86;98;13;65511;177
200;153;87;98;14;65511;178
200;153;82;91;16;65511;179
200;154;90;98;17;65511;180
200;155;84;91;18;65511;182
200;155;81;91;20;65506;182
200;157;75;84;21;65506;185
200;157;76;84;22;65506;185
200;158;65;77;23;65501;187
200;159;66;77;24;65501;188
200;160;60;70;25;65501;190
200;161;61;70;26;65501;191
200;162;50;63;27;65496;193
200;163;51;63;28;65496;194
200;164;45;56;29;65496;196
200;166;46;56;30;65496;198
200;167;27;42;30;65491;200
200;168;21;35;31;65491;200
200;170;21;35;31;65491;200
200;170;22;35;32;65491;200
200;172;15;28;32;65491;200
200;172;16;28;33;65491;200
200;174;9;21;33;65491;200
200;175;9;21;33;65491;200
200;175;2;14;33;65491;200
200;177;8;14;34;65496;200
200;177;1;7;34;65496;200
200;178;1;7;34;65496;200
200;180;65530;0;34;65496;200
200;180;65530;0;34;65496;200
200;181;65523;65529;34;65496;200
200;183;65535;0;34;65501;200
200;183;65515;65522;33;65496;200
200;184;65527;65529;33;65501;200
200;185;65508;65515;33;65496;200
200;186;65508;65515;33;65496;200
200;187;65512;65515;32;65501;200
200;187;65512;65515;32;65501;200
