target temperature;Temperature;PID output;proportional part; integral part;differential part;Calculated temperature
200;59;0;0;0;0;59
200;59;0;0;0;0;59
200;59;9;4;0;5;60
200;59;2;2;0;0;60
200;59;4;4;0;0;61
200;59;4;4;0;0;61
200;58;6;6;0;0;62
200;59;6;6;0;0;62
200;59;15;10;0;5;63
200;59;15;10;0;5;63
200;58;10;10;0;0;64
200;59;5;10;0;65531;64
200;59;20;14;1;5;65
200;58;20;14;1;5;65
200;58;15;14;1;0;66
200;58;22;16;1;5;66
200;59;25;18;2;5;67
200;58;20;18;2;0;67
200;59;15;18;2;65531;68
200;59;20;18;2;0;68
200;58;23;20;3;0;69
200;58;25;22;3;0;69
200;59;25;22;3;0;70
200;59;31;22;4;5;70
200;59;28;24;4;0;71
200;59;28;24;4;0;71
200;59;31;26;5;0;72
200;59;36;26;5;5;72
200;59;39;28;6;5;73
200;59;39;28;6;5;73
200;59;37;30;7;0;74
200;59;37;30;7;0;74
200;59;39;32;7;0;75
200;59;40;32;8;0;75
200;59;42;34;8;0;76
200;59;43;34;9;0;76
200;59;45;36;9;0;77
200;59;46;36;10;0;77
200;59;49;38;11;0;78
200;59;49;38;11;0;78
200;59;52;40;12;0;79
200;59;52;40;12;0;79
200;59;55;42;13;0;80
200;59;49;40;14;65531;80
200;60;51;42;14;65531;81
200;60;52;42;15;65531;81
200;60;55;44;16;65531;82
200;61;55;44;16;65531;82
200;61;51;44;17;65526;83
200;61;52;44;18;65526;83
200;61;54;46;18;65526;84
200;61;55;46;19;65526;84
200;61;63;48;20;65531;85
200;61;63;48;20;65531;85
200;62;59;48;21;65526;86
200;62;60;48;22;65526;86
200;62;63;50;23;65526;87
200;62;68;50;23;65531;87
200;62;69;50;24;65531;88
200;63;70;50;25;65531;88
200;63;66;50;26;65526;89
200;64;66;50;26;65526;89
200;64;69;52;27;65526;90
200;64;75;52;28;65531;90
200;65;71;52;29;65526;91
200;65;71;52;29;65526;91
200;65;74;54;30;65526;92
200;66;73;52;31;65526;92
200;66;76;54;32;65526;93
200;67;75;52;33;65526;93
200;67;70;52;33;65521;94
200;68;71;52;34;65521;94
200;68;74;54;35;65521;95
200;69;73;52;36;65521;95
200;69;76;54;37;65521;96
200;70;69;52;37;65516;96
200;70;70;52;38;65516;97
200;71;71;52;39;65516;97
200;72;72;52;40;65516;98
200;72;70;50;40;65516;98
200;73;73;52;41;65516;99
200;74;67;50;42;65511;99
200;75;68;50;43;65511;100
200;75;68;50;43;65511;100
200;76;68;50;43;65511;101
200;76;69;50;44;65511;101
200;77;68;48;45;65511;102
200;78;71;50;46;65511;102
200;79;62;46;46;65506;103
200;80;70;48;47;65511;103
200;80;64;46;48;65506;104
200;81;64;46;48;65506;104
200;82;70;46;49;65511;105
200;83;59;44;50;65501;105
200;85;57;42;50;65501;106
200;86;58;42;51;65501;106
200;87;52;40;52;65496;107
200;87;57;40;52;65501;107
200;88;51;38;53;65496;108
200;90;51;38;53;65496;108
200;90;50;36;54;65496;109
200;91;45;36;54;65491;109
200;92;49;34;55;65496;110
200;93;57;36;56;65501;110
200;94;53;32;56;65501;111
