target temperature;Temperature;PID output;proportional part; integral part;differential part;Calculated temperature;;;;;
200;167;0;10;0;65526;200;;;;;
200;167;15;20;0;65531;200;;;;;
200;167;15;20;0;65531;200;;;;;
200;167;25;30;0;65531;200;;;;;
200;167;25;30;0;65531;200;;;;;
200;167;35;40;0;65531;200;;;;;
200;168;36;40;1;65531;200;;;;;
200;168;36;40;1;65531;200;;;;;
200;168;37;40;2;65531;200;;;;;
200;168;47;50;2;65531;200;;;;;
200;168;48;50;3;65531;200;;;;;
200;168;58;60;3;65531;200;;;;;
200;168;59;60;4;65531;200;;;;;
200;168;69;70;4;65531;200;;;;;
200;168;70;70;5;65531;200;;;;;
200;169;66;70;6;65526;200;;;;;
200;169;72;70;7;65531;200;;;;;
200;169;82;80;7;65531;200;;;;;
200;169;83;80;8;65531;200;;;;;
200;169;94;90;9;65531;200;;;;;
200;170;80;80;10;65526;200;;;;;
200;170;91;90;11;65526;200;;;;;
200;170;92;90;12;65526;200;;;;;
200;170;100;100;13;65526;200;;;;;
200;171;100;100;14;65531;200;;;;;
200;171;100;100;15;65526;200;;;;;
200;171;100;100;16;65526;200;;;;;
200;172;100;110;0;65526;200;;;;;
200;172;86;100;1;65521;200;;;;;
200;172;100;110;0;65526;200;;;;;
200;173;86;100;1;65521;200;;;;;
200;173;97;110;2;65521;200;;;;;
200;174;98;110;3;65521;200;;;;;
200;174;94;110;4;65516;200;;;;;
200;175;100;110;5;65521;200;;;;;
200;175;96;110;6;65516;200;;;;;
200;176;82;100;7;65511;200;;;;;
200;176;98;110;8;65516;200;;;;;
200;177;84;100;9;65511;200;;;;;
200;178;85;100;10;65511;200;;;;;
200;179;86;100;11;65511;200;;;;;
200;180;87;100;12;65511;200;;;;;
200;181;78;90;13;65511;200;;;;;
200;181;74;90;14;65506;200;;;;;
200;182;80;90;15;65511;200;;;;;
200;183;81;90;16;65511;200;;;;;
200;184;67;80;17;65506;200;;;;;
200;185;67;80;17;65506;200;;;;;
200;186;43;60;18;65501;200;;;;;
200;187;44;60;19;65501;200;;;;;
200;188;44;60;19;65501;200;;;;;
200;189;45;60;20;65501;200;;;;;
200;189;35;50;20;65501;200;;;;;
200;190;31;50;21;65496;200;;;;;
200;192;21;40;21;65496;200;;;;;
200;192;22;40;22;65496;200;;;;;
200;194;12;30;22;65496;200;;;;;
200;194;17;30;22;65501;200;;;;;
200;195;2;20;22;65496;200;;;;;
200;196;13;30;23;65496;200;;;;;
200;197;65524;10;23;65491;200;;;;;
200;198;3;20;23;65496;200;;;;;
200;199;65529;10;23;65496;200;;;;;
200;200;65514;0;23;65491;200;;;;;
200;201;65519;0;23;65496;200;;;;;
200;202;65509;65526;23;65496;200;;;;;
200;202;65499;65516;23;65496;200;;;;;
200;203;65489;65506;23;65496;200;;;;;
200;204;65488;65506;22;65496;200;;;;;
200;205;65483;65496;22;65501;200;;;;;
200;206;65467;65486;21;65496;200;;;;;
200;206;65457;65476;21;65496;200;;;;;
200;207;65466;65476;20;65506;200;;;;;
