target temperature;Temperature;PID output;proportional part; integral part;differential part;Calculated temperature
200;45;0;0;0;0;45
200;45;6;6;0;0;45
200;45;13;13;0;0;46
200;45;13;13;0;0;46
200;45;19;19;0;0;47
200;45;19;19;0;0;47
200;45;26;26;0;0;48
200;45;26;26;0;0;48
200;45;33;33;0;0;49
200;45;33;33;0;0;49
200;45;40;39;1;0;50
200;45;40;39;1;0;50
200;45;47;46;1;0;51
200;45;47;46;1;0;51
200;45;53;52;1;0;52
200;45;54;52;2;0;52
200;45;61;59;2;0;53
200;45;61;59;2;0;53
200;45;69;66;3;0;54
200;45;69;66;3;0;54
200;45;75;72;3;0;55
200;45;75;72;3;0;55
200;45;83;79;4;0;56
200;45;83;79;4;0;56
200;45;90;85;5;0;57
200;45;90;85;5;0;57
200;46;84;85;5;65530;58
200;46;85;85;6;65530;58
200;46;92;92;6;65530;59
200;46;93;92;7;65530;59
200;46;100;99;7;65530;60
200;46;100;99;7;65530;60
200;46;100;105;8;65530;61
200;46;100;99;8;65530;61
200;47;100;105;9;65530;62
200;47;100;105;0;0;62
200;47;100;112;0;0;63
200;47;100;112;0;0;63
200;48;100;112;0;65530;64
200;48;100;112;0;65530;64
200;49;100;112;0;65524;65
200;49;100;112;0;65524;65
200;50;100;112;0;65524;66
200;50;100;112;0;65524;66
200;51;94;112;0;65518;67
200;51;95;112;1;65518;67
200;52;88;112;1;65511;68
200;52;96;112;2;65518;68
200;53;89;112;2;65511;69
200;53;97;112;3;65518;69
200;54;90;112;3;65511;70
200;55;84;105;4;65511;70
200;55;91;112;4;65511;71
200;56;79;105;5;65505;71
200;58;79;105;5;65505;72
200;58;73;99;5;65505;72
200;59;68;99;6;65499;73
200;60;61;92;6;65499;73
200;61;56;92;7;65493;74
200;62;49;85;7;65493;74
200;62;57;92;8;65493;75
200;64;31;79;8;65480;75
200;65;31;79;8;65480;76
200;66;25;72;9;65480;76
200;66;25;72;9;65480;77
200;68;19;66;9;65480;77
200;69;20;66;10;65480;78
200;70;13;59;10;65480;78
200;71;13;59;10;65480;79
200;72;6;52;10;65480;79
200;73;13;52;11;65486;80
200;74;7;46;11;65486;80
200;75;7;46;11;65486;81
200;76;0;39;11;65486;81
200;77;0;39;11;65486;82
200;78;65531;33;12;65486;82
200;79;65531;33;12;65486;83
200;80;65524;26;12;65486;83
200;81;65524;26;12;65486;84
200;82;65517;19;12;65486;84
200;82;65517;19;12;65486;85
200;83;65511;13;12;65486;85
200;84;65524;19;12;65493;86
200;85;65518;13;12;65493;86
200;86;65518;13;12;65493;87
200;87;65511;6;12;65493;87
200;88;65511;6;12;65493;88
200;88;65511;6;12;65493;88
200;89;65498;0;12;65486;89
200;90;65505;0;12;65493;89
200;91;65505;0;12;65493;90
200;91;65505;0;12;65493;90
200;92;65505;0;12;65493;91
200;93;65499;65530;12;65493;91
200;94;65499;65530;12;65493;92
200;94;65505;65530;12;65499;92
200;95;65505;65530;12;65499;93
200;96;65504;65523;12;65505;93
200;96;65511;65530;12;65505;94
200;97;65504;65523;12;65505;94
200;97;65511;65530;12;65505;95
200;98;65504;65523;12;65505;95
200;99;65504;65523;12;65505;96
200;99;65510;65523;12;65511;96
200;100;65504;65523;12;65505;97
200;101;65498;65517;12;65505;97
200;101;65510;65523;12;65511;98
200;102;65498;65517;12;65505;98
200;102;65510;65523;12;65511;99
200;103;65498;65517;12;65505;99
200;103;65509;65523;11;65511;100
200;104;65503;65517;11;65511;100
200;104;65509;65523;11;65511;101
200;104;65503;65517;11;65511;101
200;105;65509;65523;11;65511;102
200;106;65497;65517;11;65505;102
200;106;65509;65523;11;65511;103
200;106;65509;65523;11;65511;103
200;107;65509;65523;11;65511;104
200;107;65509;65523;11;65511;104
200;107;65509;65523;11;65511;105
200;108;65509;65523;11;65511;105
200;108;65523;65530;11;65518;106
200;109;65516;65523;11;65518;106
200;109;65529;65530;11;65524;107
200;109;65529;65530;11;65524;107
200;109;65535;0;11;65524;108
200;110;65529;65530;11;65524;108
200;110;65535;0;11;65524;109
200;110;5;0;11;65530;109
200;111;65535;0;11;65524;110
200;111;65535;0;11;65524;110
200;111;5;6;11;65524;111
200;112;65529;0;11;65518;111
200;112;65535;6;11;65518;112
200;112;65535;6;11;65518;112
200;112;12;13;11;65524;113
200;112;12;13;11;65524;113
200;113;6;13;11;65518;114
200;113;12;13;11;65524;114
200;113;18;19;11;65524;115
200;113;18;19;11;65524;115
200;114;18;19;11;65524;116
200;114;18;19;11;65524;116
200;114;25;26;11;65524;117
200;114;25;26;11;65524;117
200;114;33;33;12;65524;118
200;114;39;33;12;65530;118
200;115;33;33;12;65524;119
200;115;33;33;12;65524;119
200;115;39;39;12;65524;120
200;115;45;39;12;65530;120
200;116;40;39;13;65524;121
200;116;40;39;13;65524;121
200;116;47;46;13;65524;122
200;116;47;46;13;65524;122
200;116;53;52;13;65524;123
200;116;60;52;14;65530;123
200;117;54;52;14;65524;124
200;117;54;52;14;65524;124
200;117;61;59;14;65524;125
200;117;68;59;15;65530;125
200;118;62;59;15;65524;126
