target temperature;Temperature;PID output;proportional part; integral part;differential part;Calculated temperature
200;53;0;0;0;0;53
200;53;0;0;0;0;53
200;53;0;0;0;0;54
200;53;0;0;0;0;54
200;53;6;6;0;0;55
200;53;6;6;0;0;55
200;53;12;12;0;0;56
200;53;12;12;0;0;56
200;53;12;12;0;0;57
200;53;13;12;1;0;57
200;53;13;12;1;0;58
200;53;13;12;1;0;58
200;53;13;12;1;0;59
200;53;13;12;1;0;59
200;53;14;12;2;0;60
200;53;14;12;2;0;60
200;53;14;12;2;0;61
200;53;14;12;2;0;61
200;53;14;12;2;0;62
200;53;15;12;3;0;62
200;53;15;12;3;0;63
200;53;15;12;3;0;63
200;53;15;12;3;0;64
200;53;15;12;3;0;64
200;53;16;12;4;0;65
200;53;16;12;4;0;65
200;53;16;12;4;0;66
200;53;16;12;4;0;66
200;54;16;12;4;0;67
200;53;17;12;5;0;67
200;53;17;12;5;0;68
200;53;17;12;5;0;68
200;53;16;12;5;65535;69
200;54;23;18;5;0;69
200;54;17;12;6;65535;70
200;54;17;12;6;65535;70
200;54;17;12;6;65535;71
200;54;17;12;6;65535;71
200;54;17;12;6;65535;72
200;54;18;12;7;65535;72
200;54;18;12;7;65535;73
200;54;19;12;7;0;73
200;53;18;12;7;65535;74
200;54;19;12;7;0;74
200;54;20;12;8;0;75
200;54;20;12;8;0;75
200;54;20;12;8;0;76
200;54;20;12;8;0;76
200;54;20;12;8;0;77
200;54;21;12;9;0;77
200;55;21;12;9;0;78
200;55;14;6;9;65535;78
200;55;20;12;9;65535;79
200;55;20;12;9;65535;79
200;55;21;12;10;65535;80
200;55;21;12;10;65535;80
200;55;21;12;10;65535;81
200;55;21;12;10;65535;81
200;56;21;12;10;65535;82
200;55;14;6;10;65534;82
200;56;22;12;11;65535;83
200;56;22;12;11;65535;83
200;56;22;12;11;65535;84
200;56;22;12;11;65535;84
200;56;22;12;11;65535;85
200;56;23;12;12;65535;85
200;56;23;12;12;65535;86
200;56;23;12;12;65535;86
200;57;23;12;12;65535;87
200;57;23;12;12;65535;87
200;57;24;12;13;65535;88
200;57;24;12;13;65535;88
200;57;24;12;13;65535;89
200;58;18;6;13;65535;89
200;58;24;12;13;65535;90
200;58;25;12;14;65535;90
200;58;25;12;14;65535;91
200;58;26;12;14;0;91
200;59;26;12;14;0;92
200;59;19;6;14;65535;92
200;59;25;12;14;65535;93
200;59;26;12;15;65535;93
200;59;26;12;15;65535;94
200;59;26;12;15;65535;94
200;60;25;12;15;65534;95
200;60;25;12;15;65534;95
200;60;26;12;16;65534;96
200;60;26;12;16;65534;96
200;60;27;12;16;65535;97
200;61;27;12;16;65535;97
200;61;26;12;16;65534;98
200;61;27;12;17;65534;98
200;62;26;12;17;65533;99
200;62;27;12;17;65534;99
200;62;27;12;17;65534;100
200;62;27;12;17;65534;100
200;63;28;12;18;65534;101
200;63;21;6;18;65533;101
200;63;27;12;18;65533;102
200;63;28;12;18;65534;102
200;63;28;12;18;65534;103
200;64;30;12;19;65535;103
200;64;29;12;19;65534;104
200;65;29;12;19;65534;104
200;65;28;12;19;65533;105
200;65;28;12;19;65533;105
200;65;30;12;20;65534;106
200;66;23;6;20;65533;106
200;66;29;12;20;65533;107
200;66;29;12;20;65533;107
200;67;29;12;20;65533;108
200;67;23;6;20;65533;108
200;67;30;12;21;65533;109
200;68;31;12;21;65534;109
200;68;30;12;21;65533;110
200;69;30;12;21;65533;110
200;69;30;12;21;65533;111
200;69;31;12;22;65533;111
200;70;31;12;22;65533;112
200;70;23;6;22;65531;112
200;70;31;12;22;65533;113
200;71;31;12;22;65533;113
200;71;29;12;22;65531;114
200;71;32;12;23;65533;114
200;72;30;12;23;65531;115
200;73;32;12;23;65533;115
200;73;30;12;23;65531;116
200;73;30;12;23;65531;116
200;74;33;12;24;65533;117
200;74;25;6;24;65531;117
200;74;31;12;24;65531;118
200;75;33;12;24;65533;118
200;76;31;12;24;65531;119
200;76;25;6;24;65531;119
200;76;32;12;25;65531;120
200;77;34;12;25;65533;120
200;77;34;12;25;65533;121
200;77;34;12;25;65533;121
200;78;35;12;25;65534;122
200;78;29;6;26;65533;122
200;79;35;12;26;65533;123
200;80;29;6;26;65533;123
200;80;29;6;26;65533;124
200;80;29;6;26;65533;124
200;81;35;12;26;65533;125
200;81;29;6;26;65533;125
200;83;27;6;26;65531;126
200;83;20;0;26;65530;126
200;83;28;6;27;65531;127
200;84;21;0;27;65530;127
200;85;28;6;27;65531;128
200;85;22;0;27;65531;128
200;85;28;6;27;65531;129
200;86;21;0;27;65530;129
200;87;27;6;27;65530;130
200;87;21;0;27;65530;130
200;88;28;6;27;65531;131
200;88;21;0;27;65530;131
200;88;28;6;27;65531;132
200;89;21;0;27;65530;132
200;89;28;6;27;65531;133
200;90;21;0;27;65530;133
200;91;28;6;27;65531;134
200;91;22;0;27;65531;134
200;92;30;6;27;65533;135
200;92;22;0;27;65531;135
200;92;30;6;27;65533;136
200;93;31;6;28;65533;136
200;93;25;0;28;65533;137
200;94;23;0;28;65531;137
200;94;25;0;28;65533;138
200;95;23;0;28;65531;138
200;95;23;0;28;65531;139
200;96;22;0;28;65530;139
200;96;23;0;28;65531;140
200;97;22;0;28;65530;140
200;98;22;0;28;65530;141
200;98;22;0;28;65530;141
200;98;23;0;28;65531;142
200;99;22;0;28;65530;142
200;99;23;0;28;65531;143
200;100;23;0;28;65531;143
200;100;25;0;28;65533;144
200;101;31;6;28;65533;144
200;102;25;0;28;65533;145
200;102;23;0;28;65531;145
200;102;25;0;28;65533;146
200;102;31;6;28;65533;146
200;103;25;0;28;65533;147
200;103;31;6;28;65533;147
200;104;25;0;28;65533;148
200;105;31;6;28;65533;148
200;105;23;0;28;65531;149
200;105;31;6;28;65533;149
200;106;25;0;28;65533;150
200;106;31;6;28;65533;150
200;107;31;6;28;65533;151
200;107;31;6;28;65533;151
200;107;31;6;28;65533;152
200;108;38;12;29;65533;152
200;109;30;6;29;65531;153
200;109;30;6;29;65531;153
200;110;30;6;29;65531;154
200;110;30;6;29;65531;154
200;110;30;6;29;65531;155
200;111;36;12;29;65531;155
200;111;30;6;29;65531;156
200;112;30;6;30;65530;156
200;112;30;6;30;65530;157
200;113;37;12;30;65531;157
200;113;31;6;30;65531;158
200;114;30;6;30;65530;158
200;114;31;6;30;65531;159
200;115;37;12;30;65531;159
200;115;30;6;30;65530;160
200;116;38;12;31;65531;160
200;116;32;6;31;65531;161
200;117;38;12;31;65531;161
200;117;31;6;31;65530;162
200;118;38;12;31;65531;162
200;118;32;6;31;65531;163
200;119;39;12;32;65531;163
200;119;32;6;32;65530;164
200;120;39;12;32;65531;164
200;120;32;6;32;65530;165
200;121;32;6;32;65530;165
200;121;32;6;32;65530;166
200;122;32;6;32;65530;166
200;123;32;6;32;65530;167
200;123;32;6;32;65530;167
200;124;33;6;33;65530;168
200;124;33;6;33;65530;168
200;125;26;0;33;65529;169
200;125;33;6;33;65530;169
200;126;34;6;33;65531;170
200;126;34;6;33;65531;170
200;127;36;6;33;65533;171
200;128;34;6;33;65531;171
200;128;28;0;33;65531;172
200;128;34;6;33;65531;172
200;129;28;0;33;65531;173
200;129;36;6;33;65533;173
200;130;36;6;33;65533;174
200;131;35;6;34;65531;174
200;131;29;0;34;65531;175
200;132;35;6;34;65531;175
200;132;29;0;34;65531;176
200;132;37;6;34;65533;176
200;133;29;0;34;65531;177
200;133;37;6;34;65533;177
200;134;29;0;34;65531;178
200;135;28;0;34;65530;178
200;135;29;0;34;65531;179
200;136;35;6;34;65531;179
200;136;28;0;34;65530;180
200;137;35;6;34;65531;180
200;138;28;0;34;65530;181
200;138;28;0;34;65530;181
200;138;28;0;34;65530;182
200;139;28;0;34;65530;182
200;140;29;0;34;65531;183
200;140;28;0;34;65530;183
200;141;28;0;34;65530;184
200;141;28;0;34;65530;184
200;141;28;0;34;65530;185
200;143;28;0;34;65530;185
200;143;22;65530;34;65530;186
200;143;28;0;34;65530;186
200;144;22;65530;34;65530;187
200;145;28;0;34;65530;187
200;145;29;0;34;65531;188
200;146;29;0;34;65531;188
200;146;23;65530;34;65531;189
200;147;29;0;34;65531;189
200;147;23;65530;34;65531;190
200;148;31;0;34;65533;190
200;148;23;65530;34;65531;191
200;149;22;65530;33;65531;191
200;149;22;65530;33;65531;192
200;150;28;0;33;65531;192
200;150;22;65530;33;65531;193
200;151;30;0;33;65533;193
200;151;21;65530;33;65530;194
200;152;19;65530;33;65528;194
200;152;19;65530;33;65528;195
200;153;18;65530;33;65527;195
200;153;19;65530;33;65528;196
200;154;16;65530;33;65525;196
200;155;16;65530;33;65525;197
200;155;15;65530;32;65525;197
200;156;15;65530;32;65525;198
200;156;15;65530;32;65525;198
200;157;18;65530;32;65528;199
200;157;15;65530;32;65525;199
200;157;18;65530;32;65528;200
200;158;15;65530;32;65525;200
200;158;18;65530;32;65528;200
200;159;15;65530;32;65525;200
200;160;15;65530;32;65525;200
200;160;12;65530;31;65523;200
200;160;14;65530;31;65525;200
200;161;20;0;31;65525;200
200;161;14;65530;31;65525;200
200;162;20;0;31;65525;200
200;162;14;65530;31;65525;200
200;162;20;0;31;65525;200
200;163;14;65530;31;65525;200
200;163;20;0;31;65525;200
200;164;23;0;31;65528;200
200;164;20;0;31;65525;200
200;164;20;0;31;65525;200
200;165;29;6;31;65528;200
200;165;20;0;31;65525;200
200;166;29;6;31;65528;200
200;166;20;0;31;65525;200
200;166;29;6;31;65528;200
200;167;23;0;31;65528;200
200;167;29;6;31;65528;200
200;167;33;6;32;65531;200
200;168;30;6;32;65528;200
200;168;30;6;32;65528;200
200;169;39;12;32;65531;200
200;169;30;6;32;65528;200
200;169;39;12;32;65531;200
200;170;30;6;32;65528;200
200;170;37;12;33;65528;200
200;171;37;12;33;65528;200
200;171;28;6;33;65525;200
200;171;31;6;33;65528;200
200;171;37;12;33;65528;200
200;172;28;6;33;65525;200
200;172;37;12;33;65528;200
200;173;29;6;34;65525;200
200;173;38;12;34;65528;200
200;174;38;12;34;65528;200
200;174;29;6;34;65525;200
200;174;32;6;34;65528;200
200;175;38;12;34;65528;200
200;175;29;6;34;65525;200
200;176;39;12;35;65528;200
200;176;30;6;35;65525;200
200;176;39;12;35;65528;200
200;177;30;6;35;65525;200
200;177;36;12;35;65525;200
200;178;39;12;35;65528;200
200;178;31;6;36;65525;200
200;178;31;6;36;65525;200
200;179;30;6;36;65524;200
200;179;30;6;36;65524;200
200;179;39;12;36;65527;200
200;180;30;6;36;65524;200
200;180;39;12;36;65527;200
200;181;40;12;37;65527;200
200;181;31;6;37;65524;200
200;182;34;6;37;65527;200
200;182;31;6;37;65524;200
200;182;34;6;37;65527;200
200;183;31;6;37;65524;200
200;183;31;6;37;65524;200
200;184;40;12;37;65527;200
200;184;31;6;37;65524;200
200;185;38;12;38;65524;200
200;185;32;6;38;65524;200
200;185;38;12;38;65524;200
200;186;32;6;38;65524;200
200;187;29;6;38;65521;200
200;187;32;6;38;65524;200
200;187;38;12;38;65524;200
200;188;30;6;39;65521;200
200;188;39;12;39;65524;200
200;189;39;12;39;65524;200
200;189;33;6;39;65524;200
200;190;24;0;39;65521;200
200;190;33;6;39;65524;200
200;191;42;12;39;65527;200
200;191;33;6;39;65524;200
200;192;31;6;40;65521;200
200;192;34;6;40;65524;200
200;193;40;12;40;65524;200
200;193;34;6;40;65524;200
200;193;43;12;40;65527;200
200;194;37;6;40;65527;200
200;195;43;12;40;65527;200
200;195;35;6;41;65524;200
200;195;44;12;41;65527;200
200;196;47;12;41;65530;200
200;196;44;12;41;65527;200
200;196;44;12;41;65527;200
200;197;45;12;42;65527;200
200;198;45;12;42;65527;200
200;199;45;12;42;65527;200
200;199;36;6;42;65524;200
200;200;39;6;42;65527;200
200;200;30;0;42;65524;200
200;200;30;0;42;65524;200
200;201;24;65530;42;65524;200
200;201;24;65530;42;65524;200
200;202;24;65530;42;65524;200
200;203;15;65524;42;65521;200
200;203;7;65518;41;65520;200
200;204;11;65518;41;65524;200
200;204;1;65512;41;65520;200
200;204;3;65512;40;65523;200
200;204;3;65512;40;65523;200
200;205;65532;65506;39;65523;200
200;206;65523;65500;39;65520;200
200;206;65522;65500;38;65520;200
200;206;65525;65500;38;65523;200
200;207;65518;65494;37;65523;200
200;208;65517;65494;36;65523;200
200;208;65510;65488;35;65523;200
200;208;65510;65488;35;65523;200
200;208;65509;65488;34;65523;200
200;209;65512;65488;33;65527;200
200;209;65505;65482;32;65527;200
200;209;65504;65482;31;65527;200
200;210;65503;65482;30;65527;200
200;210;65496;65476;29;65527;200
200;210;65495;65476;28;65527;200
200;211;65488;65470;27;65527;200
200;211;65487;65470;26;65527;200
200;211;65486;65470;25;65527;200
200;211;65485;65470;24;65527;200
200;212;65478;65464;23;65527;200
200;212;65476;65464;21;65527;200
200;212;65475;65464;20;65527;200
200;212;65477;65464;19;65530;200
200;212;65476;65464;18;65530;200
200;212;65478;65464;17;65533;200
200;213;65467;65458;15;65530;200
200;213;65466;65458;14;65530;200
200;213;65465;65458;13;65530;200
200;214;65466;65458;11;65533;200
200;214;65459;65452;10;65533;200
200;214;65458;65452;9;65533;200
200;214;65456;65452;7;65533;200
200;214;65455;65452;6;65533;200
200;214;65453;65452;4;65533;200
200;214;65455;65452;3;0;200
200;214;65454;65452;2;0;200
200;215;65452;65452;0;0;200
200;215;65443;65446;0;65533;200
200;215;65443;65446;0;65533;200
200;215;65443;65446;0;65533;200
200;215;65443;65446;0;65533;200
200;215;65443;65446;0;65533;200
200;215;65443;65446;0;65533;200
200;215;65443;65446;0;65533;200
200;215;65443;65446;0;65533;200
200;215;65443;65446;0;65533;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65446;65446;0;0;200
200;215;65455;65452;0;3;200
200;214;65455;65452;0;3;200
200;214;65455;65452;0;3;200
200;214;65455;65452;0;3;200
200;214;65455;65452;0;3;200
200;214;65455;65452;0;3;200
200;214;65455;65452;0;3;200
200;214;65455;65452;0;3;200
200;214;65455;65452;0;3;200
200;214;65452;65452;0;0;200
200;214;65452;65452;0;0;200
200;214;65452;65452;0;0;200
200;214;65452;65452;0;0;200
200;214;65452;65452;0;0;200
200;214;65452;65452;0;0;200
200;214;65452;65452;0;0;200
200;213;65458;65458;0;0;200
200;213;65458;65458;0;0;200
200;213;65458;65458;0;0;200
200;213;65458;65458;0;0;200
200;213;65458;65458;0;0;200
200;213;65458;65458;0;0;200
200;212;65458;65458;0;0;200
200;212;65458;65458;0;0;200
200;212;65467;65464;0;3;200
200;212;65467;65464;0;3;200
200;212;65467;65464;0;3;200
200;212;65467;65464;0;3;200
200;212;65467;65464;0;3;200
200;212;65467;65464;0;3;200
200;212;65467;65464;0;3;200
200;212;65467;65464;0;3;200
200;212;65467;65464;0;3;200
200;212;65464;65464;0;0;200
200;211;65464;65464;0;0;200
200;211;65473;65470;0;3;200
200;211;65473;65470;0;3;200
200;211;65473;65470;0;3;200
200;211;65473;65470;0;3;200
200;211;65473;65470;0;3;200
200;211;65473;65470;0;3;200
200;211;65473;65470;0;3;200
200;212;65473;65470;0;3;200
200;211;65473;65470;0;3;200
200;211;65470;65470;0;0;200
200;211;65470;65470;0;0;200
200;211;65479;65476;0;3;200
200;211;65479;65476;0;3;200
200;210;65479;65476;0;3;200
200;210;65479;65476;0;3;200
200;209;65479;65476;0;3;200
200;210;65479;65476;0;3;200
200;209;65479;65476;0;3;200
200;209;65479;65476;0;3;200
200;210;65488;65482;0;6;200
200;209;65485;65482;0;3;200
200;210;65476;65476;0;0;200
200;210;65485;65482;0;3;200
200;209;65485;65482;0;3;200
200;209;65485;65482;0;3;200
200;209;65485;65482;0;3;200
200;208;65485;65482;0;3;200
200;209;65485;65482;0;3;200
200;209;65482;65482;0;0;200
200;209;65482;65482;0;0;200
200;209;65485;65482;0;3;200
200;209;65482;65482;0;0;200
200;209;65482;65482;0;0;200
200;209;65482;65482;0;0;200
200;208;65482;65482;0;0;200
200;208;65488;65488;0;0;200
200;208;65488;65488;0;0;200
200;208;65488;65488;0;0;200
200;207;65488;65488;0;0;200
200;208;65488;65488;0;0;200
200;207;65497;65494;0;3;200
200;207;65497;65494;0;3;200
200;207;65497;65494;0;3;200
200;207;65497;65494;0;3;200
200;207;65497;65494;0;3;200
200;207;65497;65494;0;3;200
200;207;65497;65494;0;3;200
200;207;65497;65494;0;3;200
200;207;65497;65494;0;3;200
200;206;65494;65494;0;0;200
200;206;65503;65500;0;3;200
200;206;65503;65500;0;3;200
200;206;65503;65500;0;3;200
200;206;65503;65500;0;3;200
200;206;65503;65500;0;3;200
200;206;65503;65500;0;3;200
200;205;65512;65506;0;6;200
200;205;65512;65506;0;6;200
200;205;65512;65506;0;6;200
200;205;65509;65506;0;3;200
200;205;65509;65506;0;3;200
200;205;65509;65506;0;3;200
200;205;65509;65506;0;3;200
200;205;65509;65506;0;3;200
200;205;65509;65506;0;3;200
200;204;65506;65506;0;0;200
200;204;65515;65512;0;3;200
200;204;65515;65512;0;3;200
200;204;65515;65512;0;3;200
200;204;65515;65512;0;3;200
200;204;65515;65512;0;3;200
200;204;65515;65512;0;3;200
200;204;65515;65512;0;3;200
200;204;65515;65512;0;3;200
200;203;65515;65512;0;3;200
200;203;65512;65512;0;0;200
200;203;65521;65518;0;3;200
200;203;65521;65518;0;3;200
200;203;65521;65518;0;3;200
200;203;65521;65518;0;3;200
200;202;65527;65524;0;3;200
200;202;65527;65524;0;3;200
200;202;65527;65524;0;3;200
200;202;65527;65524;0;3;200
400;202;65527;65524;0;3;202
400;202;65524;65524;0;0;202
400;202;65524;65524;0;0;203
400;202;65524;65524;0;0;203
400;202;0;0;0;0;204
400;202;0;0;0;0;204
400;202;6;6;0;0;205
400;201;13;12;0;1;205
400;201;13;12;0;1;206
400;201;13;12;0;1;206
400;201;13;12;0;1;207
400;201;13;12;0;1;207
400;201;14;12;1;1;208
400;201;14;12;1;1;208
400;201;14;12;1;1;209
400;201;14;12;1;1;209
400;201;13;12;1;0;210
400;201;14;12;2;0;210
400;200;14;12;2;0;211
400;200;21;18;2;1;211
400;200;21;18;2;1;212
400;200;22;18;3;1;212
400;200;22;18;3;1;213
400;200;22;18;3;1;213
400;200;23;18;4;1;214
400;200;23;18;4;1;214
400;199;23;18;4;1;215
400;199;24;18;5;1;215
400;199;30;24;5;1;216
400;199;30;24;5;1;216
400;199;31;24;6;1;217
400;199;31;24;6;1;217
400;199;32;24;7;1;218
400;199;32;24;7;1;218
400;199;32;24;7;1;219
400;199;33;24;8;1;219
400;199;33;24;8;1;220
400;199;33;24;9;0;220
400;199;33;24;9;0;221
400;199;33;24;9;0;221
400;199;34;24;10;0;222
400;199;34;24;10;0;222
400;199;35;24;11;0;223
400;199;35;24;11;0;223
400;199;35;24;11;0;224
400;200;29;18;12;65535;224
400;200;29;18;12;65535;225
400;200;29;18;12;65535;225
400;200;30;18;13;65535;226
400;200;30;18;13;65535;226
400;200;30;18;13;65535;227
400;200;30;18;13;65535;227
400;201;24;12;14;65534;228
400;201;24;12;14;65534;228
400;201;25;12;14;65535;229
400;201;25;12;14;65535;229
400;201;25;12;14;65535;230
400;201;26;12;15;65535;230
400;201;26;12;15;65535;231
400;201;26;12;15;65535;231
400;202;26;12;15;65535;232
400;202;20;6;15;65535;232
400;202;27;12;16;65535;233
400;202;27;12;16;65535;233
400;202;27;12;16;65535;234
400;202;27;12;16;65535;234
400;202;27;12;16;65535;235
400;203;20;6;16;65534;235
400;203;27;12;17;65534;236
400;204;27;12;17;65534;236
400;204;27;12;17;65534;237
400;204;27;12;17;65534;237
400;204;27;12;17;65534;238
400;204;28;12;18;65534;238
400;204;28;12;18;65534;239
400;205;21;6;18;65533;239
400;205;28;12;18;65534;240
400;205;28;12;18;65534;240
400;205;29;12;19;65534;241
400;206;30;12;19;65535;241
400;206;29;12;19;65534;242
400;206;29;12;19;65534;242
400;207;29;12;19;65534;243
400;207;22;6;19;65533;243
400;207;30;12;20;65534;244
400;207;30;12;20;65534;244
400;208;30;12;20;65534;245
400;208;30;12;20;65534;245
400;208;30;12;20;65534;246
400;209;25;6;21;65534;246
400;209;31;12;21;65534;247
400;209;31;12;21;65534;247
400;210;32;12;21;65535;248
400;210;25;6;21;65534;248
400;210;31;12;21;65534;249
400;210;32;12;22;65534;249
400;211;31;12;22;65533;250
400;211;31;12;22;65533;250
400;212;32;12;22;65534;251
400;212;25;6;22;65533;251
400;212;32;12;23;65533;252
400;213;32;12;23;65533;252
400;213;32;12;23;65533;253
400;213;32;12;23;65533;253
400;214;32;12;23;65533;254
400;214;26;6;23;65533;254
400;214;33;12;24;65533;255
400;215;25;6;24;65531;255
400;215;33;12;24;65533;256
400;216;33;12;24;65533;256
400;216;33;12;24;65533;257
400;217;27;6;24;65533;257
400;217;26;6;25;65531;258
400;217;26;6;25;65531;258
400;218;34;12;25;65533;259
400;218;26;6;25;65531;259
400;218;34;12;25;65533;260
400;219;34;12;25;65533;260
400;219;33;12;26;65531;261
400;219;33;12;26;65531;261
400;220;33;12;26;65531;262
400;220;35;12;26;65533;262
400;220;35;12;26;65533;263
400;221;27;6;26;65531;263
400;221;36;12;27;65533;264
400;222;36;12;27;65533;264
400;222;34;12;27;65531;265
400;223;36;12;27;65533;265
400;223;34;12;27;65531;266
400;223;37;12;28;65533;266
400;224;35;12;28;65531;267
400;224;35;12;28;65531;267
400;224;37;12;28;65533;268
400;225;29;6;28;65531;268
400;226;36;12;29;65531;269
400;226;30;6;29;65531;269
400;226;36;12;29;65531;270
400;227;38;12;29;65533;270
400;227;36;12;29;65531;271
400;228;38;12;29;65533;271
400;228;39;12;30;65533;272
400;229;39;12;30;65533;272
400;229;39;12;30;65533;273
400;229;39;12;30;65533;273
400;230;40;12;30;65534;274
400;230;34;6;31;65533;274
400;230;40;12;31;65533;275
400;231;34;6;31;65533;275
400;232;40;12;31;65533;276
400;232;34;6;31;65533;276
400;232;40;12;31;65533;277
400;233;34;6;31;65533;277
400;234;41;12;32;65533;278
400;234;33;6;32;65531;278
400;234;41;12;32;65533;279
400;235;33;6;32;65531;279
400;235;41;12;32;65533;280
400;236;41;12;32;65533;280
400;237;42;12;33;65533;281
400;237;34;6;33;65531;281
400;237;42;12;33;65533;282
400;238;42;12;33;65533;282
400;239;42;12;33;65533;283
400;239;34;6;33;65531;283
400;240;35;6;34;65531;284
400;241;35;6;34;65531;284
400;241;34;6;34;65530;285
400;241;34;6;34;65530;285
400;242;34;6;34;65530;286
400;243;34;6;34;65530;286
400;243;33;6;34;65529;287
400;243;34;6;34;65530;287
